CourseName,LearningObjectivesMet,CourseMaterialsUseful,RateQualityOfMaterials,RateInstructorKnowledge,ContentPresentationClear,TimeUsedEffectively,AbleToUseKnowledge,OverallReaction
Introduction to PCs,4,5,5,5,5,4,3,4
Introduction to PCs,5,5,5,5,5,5,3,4
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,2,1,3,1,1,1,2,2
Introduction to PCs,3,4,4,5,5,5,1,4
Introduction to PCs,4,4,4,4,4,4,4,4
Introduction to PCs,4,5,4,4,4,4,2,3
Introduction to PCs,5,4,5,5,5,5,5,5
Introduction to PCs,3,4,5,5,5,5,3,3
Introduction to PCs,5,5,5,5,5,5,1,5
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,3,3,3,5,5,4,3,4
Introduction to PCs,4,5,5,5,4,4,3,4
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,3,4,3,4,4,2,3,3
Introduction to PCs,4,4,4,4,4,4,3,4
Introduction to PCs,4,5,5,5,5,4,3,4
Introduction to PCs,4,5,5,5,5,4,4,4
Introduction to PCs,4,4,4,4,5,4,1,4
Introduction to PCs,4,5,5,5,4,5,3,4
Introduction to PCs,3,3,3,1,3,4,1,3
Introduction to PCs,4,4,4,5,5,4,3,5
Introduction to PCs,4,5,4,5,5,3,4,2
Introduction to PCs,4,5,5,5,5,5,2,2
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,4,4,5,5,5,3,4
Introduction to PCs,4,5,4,5,4,5,3,5
Introduction to PCs,4,4,4,4,4,4,3,4
Introduction to PCs,4,4,4,5,5,5,5,5
Introduction to PCs,5,5,4,5,4,5,4,4
Introduction to PCs,3,3,3,4,4,4,3,4
Introduction to PCs,3,4,4,5,4,5,3,3
Introduction to PCs,4,3,3,5,4,4,3,4
Introduction to PCs,4,3,4,5,4,4,3,4
Introduction to PCs,4,4,4,4,4,4,3,4
Introduction to PCs,4,5,4,4,4,4,3,4
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,5,3,4,5,5,5,5,5
Introduction to PCs,5,4,4,5,5,5,5,5
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,5,5,4,5,4,5,4,4
Introduction to PCs,5,5,5,5,1,5,5,5
Introduction to PCs,5,5,5,5,3,3,5,4
Introduction to PCs,5,5,5,5,5,5,4,4
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,1,1,5,5,5,5,3,5
Introduction to PCs,3,4,4,5,4,4,4,4
Introduction to PCs,4,3,3,4,4,4,3,3
Introduction to PCs,4,4,4,5,5,5,4,4
Introduction to PCs,4,4,5,5,4,5,4,5
Introduction to PCs,5,4,4,5,5,5,4,5
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,4,4,3,4,4,4,4,4
Introduction to PCs,4,4,5,5,4,5,4,4
Introduction to PCs,4,5,5,5,5,4,5,5
Introduction to PCs,5,5,5,5,5,5,2,5
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,3,4,5,5,5,5,1,5
Introduction to PCs,4,4,4,5,4,4,4,4
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,5,5,5,4,5,4,5
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,3,3,3,4,4,4,4,4
Introduction to PCs,5,5,5,5,5,5,2,5
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,5,5,4,5,5,4,4
Introduction to PCs,4,5,5,5,4,5,3,4
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,4,4,5,5,4,5,4
Introduction to PCs,5,5,5,5,5,5,3,4
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,3,5,5,5,5,5,3,4
Introduction to PCs,4,4,5,5,5,5,4,4
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,4,4,4,5,4,5,2,4
Introduction to PCs,4,4,5,5,4,4,3,4
Introduction to PCs,5,4,4,5,4,5,5,4
Introduction to PCs,5,5,5,5,5,5,1,4
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,4,4,4,5,5,5,2,4
Introduction to PCs,4,4,5,5,4,5,3,4
Introduction to PCs,5,5,5,5,5,5,3,5
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,3,3,3,5,4,5,4,4
Introduction to PCs,3,4,3,5,5,5,3,3
Introduction to PCs,4,4,4,5,5,4,4,4
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,5,5,5,4,5,3,4
Introduction to PCs,5,5,4,5,5,5,3,5
Introduction to PCs,4,4,5,5,5,5,5,5
Introduction to PCs,5,5,5,5,5,5,4,5
Introduction to PCs,4,4,4,5,5,4,4,4
Introduction to PCs,5,4,5,5,5,5,3,4
Introduction to PCs,5,5,5,5,5,5,1,1
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,4,5,5,4,4,2,5
Introduction to PCs,5,5,5,5,5,5,4,4
Introduction to PCs,5,5,5,5,5,5,5,5
Introduction to PCs,4,4,4,5,5,5,4,5
Introduction to PCs,5,5,5,5,5,5,5,5
